chasisNumber,configOperationMode,defaultVersion,deviceIP,deviceModel,deviceState,deviceType,globalState,hardwareCertSerialNumber,host-name,lastupdated,local-system-ip,managementSystemIP,model_sku,ncsDeviceName,personality,platformFamily,reachability,rootCertHash,serialNumber,site-id,state,subjectSerialNumber,system-ip,template,uuid,validity,vbond,vedgeCSRCommonName,vedgeCertificateState,version,vmanageConnectionState
NA,NA,NA,NA,NA,NA,NA,NA,NA,vManage01,1628470246407,1.1.1.10,NA,None,NA,vmanage,NA,reachable,NA,NA,1,green,NA,1.1.1.10,NA,08fdc091-037e-49ad-ae22-16fbd5dc9764,valid,NA,NA,NA,20.3.2.1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,vSmart01,1628469034584,1.1.1.12,NA,None,NA,vsmart,NA,reachable,NA,NA,1,green,NA,1.1.1.12,NA,bccb762c-73ff-434a-b66b-8a0b30e119b7,valid,NA,NA,NA,20.3.2,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,vSmart02,1628470285701,1.1.1.13,NA,None,NA,vsmart,NA,reachable,NA,NA,1,green,NA,1.1.1.13,NA,8df7b507-9c6c-42d4-b7a2-10f1894e2587,valid,NA,NA,NA,20.3.2,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,vSmart03,1628470289023,1.1.1.14,NA,None,NA,vsmart,NA,reachable,NA,NA,1,green,NA,1.1.1.14,NA,17bb9366-a0f4-4d91-b5af-472c6b70bb5b,valid,NA,NA,NA,20.3.2,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,vSmart04,1628470289412,1.1.1.15,NA,None,NA,vsmart,NA,reachable,NA,NA,1,green,NA,1.1.1.15,NA,7169f30b-0552-4360-837d-813a0c14ad62,valid,NA,NA,NA,20.3.2,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,vbond01,1628466981309,1.1.1.11,NA,None,NA,vbond,NA,reachable,NA,NA,1,green,NA,1.1.1.11,NA,023efe88-2ddf-4106-90bd-a4e720e2ae27,valid,NA,NA,NA,20.3.2,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,dc1-vedge01,1628470252547,1.1.11.1,NA,None,NA,vedge,NA,reachable,NA,NA,11,green,NA,1.1.11.1,NA,c11ff33d-25b0-45b6-a709-58b65f9abbff,valid,NA,NA,NA,20.3.2,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,dc1-vedge02,1628470520824,1.1.11.2,NA,None,NA,vedge,NA,reachable,NA,NA,11,green,NA,1.1.11.2,NA,ffa358b5-a4d3-4b94-8ea5-0b308c85f612,valid,NA,NA,NA,20.3.2,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,dc2-vedge01,1628470520145,1.1.12.1,NA,None,NA,vedge,NA,reachable,NA,NA,12,green,NA,1.1.12.1,NA,20f7a478-eda8-4949-b3e1-ed282fc675ac,valid,NA,NA,NA,20.3.2,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,dc2-vedge02,1628470519761,1.1.12.2,NA,None,NA,vedge,NA,reachable,NA,NA,12,green,NA,1.1.12.2,NA,35ee4d5f-9623-47a7-8f73-3cd437becb58,valid,NA,NA,NA,20.3.2,NA
